retailer_id,store_id,shipment_id,shipped_dttm,refund_id,refund_created_dttm,return_reason,return_kind,goods_sum,cogs_sum,retailer_sku,product_sku,master_category,parent_category,item_return_quantity,item_price,total_item_price,total_item_return_sum,total_item_sum,marking_system,order_state
137,12874,1308262454866929830,,331175,2022-09-08T15:51:40,Отмена заказа,full,730.73,,102083492,24940970,Мясные деликатесы и копчености,Колбасные изделия и мясные деликатесы,2.0,119.99,119.99,239.98,239.98,{mercury},canceled
137,12874,1308262454866929830,,331175,2022-09-08T15:51:40,Отмена заказа,full,730.73,,101516495,806516,"Хлеб, тосты, лаваш",Хлеб и выпечка,1.0,44.99,44.99,44.99,44.99,,canceled
137,12874,1308262454866929830,,331175,2022-09-08T15:51:40,Отмена заказа,full,730.73,,90000138525,117193,Молоко,"Молочные продукты, яйца",1.0,59.99,59.99,59.99,59.99,"{mercury,chestny_znak}",canceled
137,12874,1308262454866929830,,331175,2022-09-08T15:51:40,Отмена заказа,full,730.73,,101911604,105700,Кофе,"Чай, кофе, какао",1.0,269.99,269.99,269.99,269.99,,canceled
122,2082,3960351174002031020,2022-10-14T07:10:59,416009,2022-10-14T08:33:21,Другой товар,part,2181.82,2202.57,1000421691,16285345,Сосиски и сардельки,Колбасные изделия и мясные деликатесы,1.0,299.99,299.99,299.99,299.99,,complete
1,63,7915435378222021224,,,2022-12-14T12:44:25,Отмена заказа,full,4392.0,3776.8,203393,20533552,Газированные напитки,Безалкогольные напитки и соки,80.0,54.9,54.9,4392.0,4392.0,,canceled
15,273,17288719396556698002,2023-01-04T17:37:29,812126,2023-01-04T17:45:36,Недовоз,part,2970.87,2970.87,64993,103244,"Кондиционеры, ополаскиватели для белья",Стирка и уход за одеждой,1.0,129.95,129.95,129.95,129.95,,complete
15,70,2400029444772361308,2023-01-19T16:54:25,893959,2023-01-20T14:29:25,Качество товара,part,1501.54,1520.3,480203,245734,Свежие овощи,"Овощи, зелень, грибы",1.0,179.99,179.99,179.99,179.99,,complete
15,70,2400029444772361308,2023-01-19T16:54:25,915333,2023-01-23T16:01:56,Качество товара,part,1501.54,1520.3,370671,119432,Мясо птицы,Мясо и птица,1.0,189.91,168.64,168.64,168.64,,complete
1,351,7446175125402464713,2022-09-19T16:27:06,358249,2022-09-21T09:55:33,Качество товара,part,3815.7,3291.33,124220,17839402,"Сухофрукты, фруктовые чипсы","Сухофрукты, орехи, семечки",1.0,679.0,679.0,679.0,679.0,,complete
1,117,17816738542193249241,2022-12-05T04:44:59,621569,2022-12-05T05:15:16,Недовоз,part,7831.14,7613.47,455469,25568,Вода питьевая и минеральная,Безалкогольные напитки и соки,1.0,197.42,32.9,186.06,197.4,"{chestny_znak_b2b,chestny_znak}",complete
1,117,17816738542193249241,2022-12-05T04:44:59,621569,2022-12-05T05:15:16,Недовоз,part,7831.14,7613.47,408255,59291,Молоко,"Молочные продукты, яйца",1.0,226.0,226.0,226.0,226.0,,complete
1,127,7253596509567391548,2022-09-02T15:37:33,318592,2022-09-02T16:48:54,Качество товара,part,3695.75,3199.56,658962,115676,Сыры,Сыры,1.0,189.05,189.05,189.05,189.05,"{mercury,chestny_znak_b2b,chestny_znak}",complete
1,893,8880099445688674651,2022-10-13T09:04:27,413306,2022-10-13T10:39:39,Недовоз,part,2071.85,1798.65,44649,191990,Свежие фрукты,Фрукты и ягоды,1.0,169.0,196.04,196.04,196.04,,complete
101,3660,18011372976297563845,,370166,2022-09-26T11:20:13,Отмена заказа,full,812.0,,303963,15057857,"Аксессуары для лица, тела и волос",Волосы,1.0,249.0,249.0,249.0,249.0,,canceled
101,3660,18011372976297563845,,370166,2022-09-26T11:20:13,Отмена заказа,full,812.0,,273332,596650,"Аксессуары для лица, тела и волос",Волосы,1.0,99.0,99.0,99.0,99.0,,canceled
101,3660,18011372976297563845,,370166,2022-09-26T11:20:13,Отмена заказа,full,812.0,,138677,1542594,Средства для укладки волос,Волосы,1.0,464.0,464.0,464.0,464.0,,canceled
24,1024,126128204895373462,2022-09-23T13:20:06,364457,2022-09-24T08:21:28,Отказ от позиции(й),part,7208.58,6435.94,23239,1316203,Мясо,Мясо и птица,2.06,999.0,2057.94,2057.94,2057.94,,complete
24,4542,10329821949144517614,2022-11-26T14:11:37,578080,2022-11-27T07:30:49,Качество товара,part,3554.93,3205.33,6387,1248253,Свежие фрукты,Фрукты и ягоды,1.496,77.99,116.67,116.67,116.67,,complete
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,70873,68548,Растительные масла,Бакалея,1.0,100.79,100.79,100.79,100.79,,canceled
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,501003,140323,Приправы,"Соусы, специи и приправы",5.0,36.89,36.89,184.45,184.45,,canceled
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,212569,14998,Кетчуп,"Соусы, специи и приправы",1.0,99.93,99.93,99.93,99.93,,canceled
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,584507,16887545,Рыба,Рыба и морепродукты,1.305,600.01,391.51,783.02,783.02,{mercury},canceled
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,503139,138382,Овощные консервы и соленья,Консервированные продукты,1.0,152.14,152.14,152.14,152.14,,canceled
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,458780,230084,Мясные деликатесы и копчености,Колбасные изделия и мясные деликатесы,1.0,139.99,139.99,139.99,139.99,{mercury},canceled
8,784,12305584420240953693,,,2022-11-29T07:54:44,Отмена заказа,full,1580.1,1456.85,298354,43011,"Соусы, маринады","Соусы, специи и приправы",2.0,59.89,59.89,119.78,119.78,,canceled
8,1551,13804478689145810638,2022-09-24T14:31:11,365886,2022-09-24T15:52:33,Качество товара,part,4312.2,3208.73,388857,107410,Творог и творожная масса,"Молочные продукты, яйца",2.0,284.19,284.19,568.38,568.38,"{mercury,chestny_znak}",complete
8,415,6162680928164574295,2022-05-24T13:24:08,1119376,2023-03-01T04:48:10,Качество товара,part,5029.58,4173.9,384631,805436,Пылесосы,Техника для уборки,1.0,4841.09,4841.09,4841.09,4841.09,,complete
148,10447,11430312151746637502,,558944,2022-11-23T12:14:32,Отмена заказа,full,567.0,,214784,467800,Для ухода за кожей,Красота и здоровье,1.0,567.0,567.0,567.0,567.0,,canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,387903,44769,Макаронные изделия и паста,Бакалея,2.0,66.4,66.4,132.8,132.8,,canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,576807,24055029,Корма для животных,Товары для животных,2.0,19.89,19.89,39.78,39.78,{mercury},canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,460537,1140768,Специи и пряности,"Соусы, специи и приправы",2.0,42.68,42.68,85.36,85.36,,canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,354359,64830,Корма для животных,Товары для животных,1.0,315.64,315.64,315.64,315.64,{mercury},canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,580290,15311047,Корма для животных,Товары для животных,2.0,19.89,19.89,39.78,39.78,{mercury},canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,580279,28706479,Корма для животных,Товары для животных,2.0,19.89,19.89,39.78,39.78,{mercury},canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,301964,11203,Растительные масла,Бакалея,1.0,855.99,855.99,855.99,855.99,,canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,179015,18356,Средства для стирки,Стирка и уход за одеждой,1.0,1583.09,1583.09,1583.09,1583.09,,canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,354751,44794,"Крупы, бобы",Бакалея,1.0,80.24,80.24,80.24,80.24,,canceled
8,129,12820560353222534839,,322599,2022-09-04T13:38:22,Отмена заказа,full,3279.34,2777.76,4656,55642,"Крупы, бобы",Бакалея,1.0,106.88,106.88,106.88,106.88,,canceled
24,1011,17776267185082820748,2023-01-15T09:43:13,869739,2023-01-15T11:42:03,Качество товара,part,4003.44,3731.05,234,1316218,Мясо,Мясо и птица,1.0,259.99,414.94,414.94,414.94,,complete
1,81,5316975476878862273,2022-10-04T17:55:09,397047,2022-10-07T12:50:36,Качество товара,part,4248.42,3653.61,608523,15538687,Мясо птицы,Мясо и птица,1.0,205.0,421.48,421.48,421.48,{mercury},complete
3,8918,6876225068504381428,2022-11-07T06:07:41,500396,2022-11-10T05:33:17,Недовоз,part,2174.46,2164.12,1000029331,18045979,Растительные масла,Бакалея,1.0,76.99,76.99,76.99,76.99,,complete
3,8918,6876225068504381428,2022-11-07T06:07:41,500396,2022-11-10T05:33:17,Недовоз,part,2174.46,2164.12,1000218645,15277299,Шоколад и шоколадные батончики,Сладости,2.0,134.99,134.99,269.98,269.98,,complete
3,8918,6876225068504381428,2022-11-07T06:07:41,491093,2022-11-07T09:41:29,Качество товара,part,2174.46,2164.12,1000233462,17519940,Мясо птицы,Мясо и птица,2.0,258.99,269.87,539.74,539.74,,complete
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,377578,487729,Гели для душа,Тело,1.0,199.89,199.89,199.89,199.89,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,533228,239970,Сыры,Сыры,1.0,140.02,140.02,140.02,140.02,"{mercury,chestny_znak}",canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,358633,272115,Сыры,Сыры,1.0,89.01,89.01,89.01,89.01,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,584865,18271505,"Печенье, пряники, вафли",Сладости,1.0,76.89,76.89,76.89,76.89,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,491177,299793,Сыры,Сыры,1.0,85.02,85.02,85.02,85.02,"{mercury,chestny_znak}",canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,50685,39064,Средства для бритья и депиляции,Бритье и депиляция,2.0,318.99,318.99,637.98,637.98,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,179378,12033,"Оливки, маслины, каперсы",Консервированные продукты,1.0,266.75,266.75,266.75,266.75,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,584369,16269031,"Соленая, копченая, вяленая рыба",Рыба и морепродукты,1.0,629.99,629.99,629.99,629.99,{mercury},canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,452468,99533,Сыры,Сыры,1.0,149.99,149.99,149.99,149.99,"{mercury,chestny_znak}",canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,646336,20295391,Сыры,Сыры,1.0,75.04,75.04,75.04,75.04,"{mercury,chestny_znak}",canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,507404,220614,Мыло,Тело,1.0,138.03,138.03,138.03,138.03,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,488061,142452,Мыло,Тело,1.0,138.03,138.03,138.03,138.03,,canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,643381,19429389,"Соленая, копченая, вяленая рыба",Рыба и морепродукты,1.0,220.01,220.01,220.01,220.01,{mercury},canceled
8,128,5041136427112667939,,,2022-12-24T07:35:04,Отмена заказа,full,3192.63,2811.39,22313,24321,Овощные консервы и соленья,Консервированные продукты,1.0,174.99,174.99,174.99,174.99,,canceled
